military_rank,tax_number,full_name,birth_date,source_unit,specialty_name,specialty_code,specialty_mos_code,category,training_location,start_date,end_date,completion_order_number,completion_certificate_number,notes
,3185095775,КОНДРАТЮК Анатолій Андрійович,03/15/1987,А0501,Оператор БПЛА,212,212720,КІБР,242 ЦПП,10/25/2025,12/17/2025,№489 від 17.12.2025,11388,незаповнене поле звання
сержант,,БОНДАРЕНКО Юрій Павлович,11/29/1977,А4010,Механік-водій,121,121223,КІБР,333 брез,10/11/2025,12/06/2025,№473 від 06.12.2025,66306,незаповнене поле ІПН
старший солдат,ВМ110140,КРАВЧЕНКО Володимир Павлович,12/02/1988,А0666,Радіотелефоніст,403,403733,КІБР,111 брез,10/22/2025,12/12/2025,№278 від 12.12.2025,47912,номер паспорта замість ІПН
головний сержант,270793512,КОТОВ Борис Павлович,02/20/1974,А0139,Радіотелефоніст,403,403733,КІБР,242 ЦПП,11/18/2025,01/04/2026,№41 від 04.01.2026,40654,номер айді картки замість ІПН
молодший сержант,1885505186,МАРТИНЕНКО Віктор Григорович,01/01/1979,А4754,Бойовий медик,878,878453,КІБР,242 ЦПП,10/06/2025,11/27/2025,№197 від 27.11.2025,24595,ІПН не відповідає даті народження
старший сержант,3235654364,,08/02/1988,А4754,Гранатометник,107,107543,КІБР,222 брез,11/16/2025,01/15/2026,№26 від 15.01.2026,48590,незаповнене поле ПІБ
головний сержант,3070999479,САВЧЕНКО Вадим,01/29/1984,А0666,Снайпер,110,110001,КІБР,111 брез,11/12/2025,01/02/2026,№405 від 02.01.2026,44087,невірний формат поля ПІБ
молодший сержант,3776402920,МЕЛЬНИК Руслан Сергійович,,А2167,Кухар,868,868512,КІБР,222 брез,11/15/2025,01/05/2026,№125 від 05.01.2026,90907,незаповнене поле дата народження
сержант,2620572365,КУЗЬМЕНКО Павло Глібович,09-30-1971,А7014,Оператор БПЛА,212,212720,КІБР,242 ЦПП,10/07/2025,11/21/2025,№304 від 21.11.2025,96079,невірний формат поля дата народження
головний сержант,3332405580,ДОВЖЕНКО Віктор Глібович,03/28/1991,,Механік-водій,121,121223,КІБР,242 ЦПП,11/10/2025,01/02/2026,№22 від 02.01.2026,60428,незаповнене поле частина з якої прибув
солдат,3754704440,ТИЩЕНКО Ігор Олександрович,10/19/2002,А0998,,113,113251,КІБР,333 брез,11/14/2025,01/07/2026,№26 від 07.01.2026,85806,незаповнене поле спеціальність
сержант,3672305393,ТИЩЕНКО Борис Григорович,07/17/2000,А1126,Заряджаючий,,113251,КІБР,111 брез,10/27/2025,12/22/2025,№341 від 22.12.2025,11904,незаповнене поле код спеціальності
старший солдат,3385865960,ОЛІЙНИК Олексій Анатолійович,09/12/1992,А4007,Гранатометник,107,107543,,333 брез,10/19/2025,12/07/2025,№330 від 07.12.2025,24185,незаповнене поле назва рівня підготовки
сержант,3461558186,МАРТИНЕНКО Павло Петрович,10/09/1994,А0501,Оператор БПЛА,212,212720,КІБР,,11/09/2025,01/02/2026,№113 від 02.01.2026,26329,незаповнене поле місце навчання
старший солдат,3191027733,ПАНЧЕНКО Денис Віталійович,05/14/1987,А0501,Бойовий медик,878,878453,КІБР,222 брез,10/17/2025,,№174 від 11.12.2025,96596,незаповнене поле дата початку
старший солдат,2942085385,КОЗАК Костянтин Валерійович,07/19/1980,А4754,Кулеметник,101,101255,КІБР,111 брез,10/18/2025,12-11-2025,№151 від 11.12.2025,12905,невірний формат поля дата початку 
старший солдат,2803103444,ТКАЧУК В'ячеслав Іванович,09/29/1976,А2167,Сапер,166,166611,КІБР,111 брез,10/12/2025,,№127 від 10.12.2025,60131,незаповнене поле дата кінця
старший сержант,3013231755,КИРИЛЕНКО Олексій Валерійович,07/01/1982,А0998,Розвідник,106,106642,КІБР,333 брез,11/19/2025,01-13-2026,№31 від 13.01.2026,70471,невірний формат поля дата кінця
старший солдат,2832116735,ДЯЧЕНКО Костянтин Олександрович,07/16/1977,А4007,Гранатометник,107,107543,КІБР,242 ЦПП,10/15/2025,12/10/2025,,17333,незаповнене поле дата та номер наказу
головний сержант,3327847433,ХОТЯНОВИЧ Сергій Глібович,02/10/1991,А0139,Бойовий медик,878,878453,КІБР,111 брез,10/28/2025,12/26/2025,№27 від 26.12.2025,,незаповнене поле номер диплому
молодший сержант,вм111140,кириленко дмитро валентинович,07/14/2004,А4010,Кухар,868,868512,кібр,111 брез,10/13/2025,12/11/2025,№185 від 11.12.2025,76285,ненормалізовані дані
старший солдат,3796224813,КИРИЛЕНКО Микола Павлович,12/08/2003,А4010,Кулеметник,101,101255,КІБР,222 брез,10/06/2025,11/20/2025,№480 від 20.11.2025,44894,дублікат
старший солдат,3796224813,КИРИЛЕНКО Микола Павлович,12/08/2003,А4010,Кулеметник,101,101255,КІБР,222 брез,10/06/2025,11/20/2025,№480 від 20.11.2025,44894,
старший солдат,3828387023,ОЛІЙНИК Володимир Григорович,10/24/2004,А0666,Кулеметник,101,101255,КІБР,333 брез,10/10/2025,12/09/2025,№408 від 09.12.2025,44585,
старший солдат,3067567318,КОРШЕВНЮК Анатолій Григорович,12/26/1983,А7014,Кухар,868,868512,КІБР,111 брез,10/10/2025,12/04/2025,№235 від 04.12.2025,33062,
молодший сержант,2637382410,ШЕВЧЕНКО Максим Степанович,03/16/1972,А0139,Водій,837,837037,КІБР,111 брез,10/19/2025,12/12/2025,№282 від 12.12.2025,30246,
старший сержант,2967752093,БОНДАРЕНКО Павло Юрійович,04/02/1981,А0501,Механік-водій,121,121223,КІБР,333 брез,11/27/2025,01/25/2026,№164 від 25.01.2026,16964,
молодший сержант,3060893269,МЕЛЬНИК Максим Миколайович,10/20/1983,А2167,Телеграфіст,402,402721,КІБР,111 брез,10/17/2025,12/08/2025,№147 від 08.12.2025,69894,
солдат,3412169685,ГРИЦЕНКО Артем Миколайович,06/02/1993,А0998,Оператор БПЛА,212,212720,КІБР,121 НЦ,10/24/2025,12/14/2025,№246 від 14.12.2025,63865,
